symbol,ZSTAT,P
GRIN3B,2.1497,0.01579
IGF2,2.149,0.015817
GCDH,2.149,0.015818
C12orf76,2.1488,0.015826
PVRL2,2.1458,0.015943
PHF5A,2.144,0.016015
TVP23A,2.1438,0.016024
TTC30A,2.1437,0.016028
COX6C,2.1433,0.016044
SPG7,2.1405,0.016156
CCDC89,2.1379,0.016264
UGT2A1,2.1378,0.016265
MAB21L2,2.136,0.01634
RPL22,2.1353,0.016368
ZNF408,2.1333,0.016449
DIO3,2.1331,0.016459
GPX1,2.1322,0.016497
CTSB,2.1304,0.016571
LENG9,2.1297,0.016599
ADGRL3,2.129,0.016627
AKR7A2,2.1281,0.016664
CA10,2.1229,0.016882
STX2,2.1221,0.016917
YAE1D1,2.1211,0.016956
PRMT7,2.1205,0.016981
C7orf71,2.1166,0.017147
UBE2V2,2.1154,0.017199
TRIM43B,2.1147,0.017229
TOB2,2.1146,0.017233
TUB,2.1144,0.01724
IL6,2.1137,0.017269
CATSPER2,2.1131,0.017295
SPIN1,2.112,0.017345
HOOK1,2.1118,0.017351
CLDN20,2.1101,0.017423
ACBD4,2.109,0.017471
OVGP1,2.1087,0.017486
SAFB2,2.1086,0.017491
ZBTB37,2.1058,0.017612
OR11H6,2.1048,0.017655
TFF1,2.1044,0.017673
INTS6,2.1038,0.0177
TCP10,2.1007,0.017834
DGCR8,2.1002,0.017854
RARB,2.0945,0.018106
HEY2,2.0932,0.018164
ADGRD1,2.0868,0.018452
UBL3,2.0861,0.018486
BNIP3,2.0858,0.018497
HMGN2,2.0856,0.018508
SNX33,2.0846,0.018551
ATP2A2,2.084,0.018581
C19orf70,2.0821,0.018668
C17orf59,2.0807,0.018732
LYVE1,2.0806,0.018736
PCGF6,2.0805,0.018738
KIAA1467,2.0794,0.018791
GABRA2,2.0773,0.018886
CBR1,2.0757,0.01896
ADORA2A,2.0751,0.018989
FAM20B,2.0746,0.019013
C3orf62,2.072,0.019132
FTSJ2,2.0711,0.019176
STOM,2.0697,0.019239
TMEM127,2.0695,0.019251
CACNA2D1,2.0683,0.019305
ATG16L2,2.0677,0.019336
H1FNT,2.0673,0.019354
ZNF641,2.0669,0.019373
TMCO3,2.0646,0.019482
RAPH1,2.0641,0.019505
TOR3A,2.0627,0.019572
TTYH1,2.0621,0.0196
PTPRD,2.062,0.019605
PABPN1L,2.0619,0.019607
KRT18,2.0609,0.019657
UTRN,2.0605,0.019673
OAF,2.0603,0.019685
BICC1,2.06,0.019701
PDE12,2.0592,0.019738
MUCL1,2.0585,0.019771
NUDT1,2.0577,0.019808
CPNE2,2.0561,0.019886
ZZEF1,2.0552,0.019929
DNASE2,2.0536,0.020009
C3orf84,2.0527,0.020049
RPEL1,2.0525,0.020061
CHD5,2.0498,0.020192
AZIN1,2.048,0.020281
LLGL2,2.0426,0.020544
MRPL42,2.041,0.020625
IL1RL1,2.0408,0.020636
DEFB114,2.0399,0.02068
PLCD3,2.0395,0.020699
LFNG,2.0391,0.020721
WLS,2.0386,0.020743
SPRR2F,2.0381,0.020769
PRADC1,2.0378,0.020783
CENPJ,2.0361,0.020868
RPL39L,2.0361,0.020872
CUEDC1,2.036,0.020874
RBPMS2,2.0352,0.020915
CABP7,2.035,0.020926
USMG5,2.0349,0.020929
RTBDN,2.0333,0.021014
CCDC36,2.0327,0.021042
PTGR2,2.0322,0.021067
