symbol,ZSTAT,P
C11orf45,1.887,0.029579
B4GALT2,1.8864,0.029623
TFDP1,1.886,0.029646
PRR11,1.8848,0.029726
ERCC5,1.8831,0.029845
BSN,1.8813,0.029963
ZBTB4,1.8802,0.030039
SPON1,1.8797,0.030072
FOXC2,1.8788,0.030136
RASSF6,1.8775,0.030225
CLEC4D,1.877,0.030257
HSD17B14,1.8764,0.030297
CEACAM20,1.875,0.030397
TIFA,1.8721,0.030597
ARMC4,1.8721,0.030598
TDP1,1.8708,0.03069
TXN2,1.8705,0.030706
MT1G,1.8704,0.030716
THY1,1.869,0.030814
TDRD9,1.8679,0.030888
CAPN12,1.867,0.030948
UBE2D1,1.8667,0.030971
KIF20A,1.8657,0.031044
ARFGAP1,1.8643,0.031139
STMN4,1.8642,0.031148
PLBD1,1.8639,0.031165
C17orf89,1.8634,0.031201
PSMD13,1.8633,0.031207
DRD3,1.8627,0.031252
SLC27A1,1.8626,0.031261
LFNG,1.8622,0.031287
SP5,1.8601,0.031434
ASPG,1.8575,0.031623
PASK,1.8572,0.031642
SCARA5,1.8563,0.031706
NDUFAF2,1.8557,0.03175
ARIH2OS,1.8547,0.031823
PDE9A,1.8545,0.031834
RBBP8NL,1.8528,0.031955
PPIA,1.8522,0.031997
TRIM69,1.8522,0.032
MRFAP1,1.85,0.032157
VGF,1.8496,0.032183
SMG8,1.849,0.032227
ANGPTL3,1.8487,0.032253
FBXO2,1.8475,0.032336
ELMO1,1.8456,0.032478
SLC25A23,1.8453,0.032493
NAT16,1.8451,0.032512
LOC100128905,1.8442,0.032573
KIAA1324,1.8435,0.03263
ADAM18,1.8416,0.032764
CCDC63,1.8409,0.03282
KCNA5,1.8394,0.032928
WDR6,1.8387,0.032978
RPH3A,1.8387,0.03298
STRIP2,1.8385,0.032997
DOPEY1,1.8383,0.033006
POLR3B,1.8371,0.033101
TMEM215,1.8366,0.033133
GNAQ,1.8363,0.033154
NIN,1.8356,0.033206
CAV3,1.8351,0.033246
SEMA7A,1.8341,0.033319
ZMAT5,1.8341,0.033321
PTPRR,1.834,0.033325
IL4,1.8339,0.033335
DGCR14,1.8326,0.033428
SORBS1,1.8308,0.033562
GOLGA5,1.8289,0.033707
GRM5,1.8269,0.033854
ARHGEF33,1.8251,0.03399
ETFA,1.8249,0.03401
CHN1,1.8231,0.034146
CDO1,1.8203,0.03436
GLE1,1.8199,0.034391
NLRP4,1.8197,0.034401
ZNF781,1.8194,0.034429
ZMYND8,1.8191,0.034451
MRAP,1.8189,0.03446
SHPRH,1.8189,0.034467
GRIFIN,1.8188,0.034469
CDX1,1.818,0.034528
ATP6V0B,1.8151,0.034756
ALG14,1.8149,0.034771
RFPL4B,1.8148,0.034774
MTERF4,1.8147,0.034789
OR4N5,1.8138,0.034858
SCMH1,1.8134,0.034889
DMP1,1.8125,0.034952
ABI3,1.8124,0.034959
ATP5F1,1.8118,0.035008
CCBL2,1.8118,0.035012
ASB10,1.8116,0.035023
MAN2B1,1.8112,0.035058
PABPN1L,1.8099,0.035157
ZNF573,1.8095,0.035186
ITGA1,1.8094,0.035196
OR56A3,1.8092,0.035211
ESR1,1.8088,0.035245
LIF,1.808,0.035302
PRPS1L1,1.8072,0.035367
INIP,1.807,0.035378
INSM2,1.8068,0.035394
TNK2,1.806,0.035461
SLC39A4,1.8058,0.035476
FCRL4,1.8053,0.035517
DHRS7B,1.8052,0.035524
TSSK2,1.8034,0.035663
NINJ1,1.8032,0.035676
PCMTD2,1.8031,0.035685
ADAT3,1.8029,0.035705
FLI1,1.8019,0.035777
THRSP,1.8016,0.035804
SULT4A1,1.8002,0.035913
MAD2L1,1.8002,0.035913
JAKMIP1,1.8,0.03593
SLC22A18AS,1.7964,0.036219
RAPGEF1,1.7963,0.036227
FYB,1.7947,0.036347
OCIAD2,1.794,0.036405
PTDSS1,1.7932,0.036471
GRIK5,1.7919,0.036573
TREH,1.7919,0.036574
OR52E6,1.7906,0.036677
VPS28,1.7891,0.036796
NECAP1,1.7853,0.037104
S100A1,1.7834,0.037259
SPICE1,1.7831,0.037288
ZNF446,1.7829,0.0373
TIAM2,1.7819,0.037386
TRPV4,1.7816,0.037407
CELA3A,1.7808,0.03747
ZNF607,1.7804,0.037508
KISS1R,1.7797,0.037562
MXRA7,1.7788,0.037638
ASB15,1.7787,0.037642
CHRM2,1.7781,0.037697
FBXW11,1.7774,0.037754
STMND1,1.7767,0.037812
SLC35G6,1.7765,0.037822
BANK1,1.7757,0.037887
CYTH3,1.7752,0.03793
MBD2,1.7747,0.037977
FHL2,1.7746,0.03798
FBXO38,1.7728,0.038129
CSNK1G1,1.7714,0.038247
REG4,1.7713,0.038252
BBS2,1.7701,0.038358
KIF4B,1.7698,0.03838
ABHD17A,1.7694,0.038412
EGR1,1.7691,0.038435
LGALS16,1.768,0.038532
ZNF670,1.7679,0.038539
C10orf107,1.7675,0.038576
ZAR1,1.7658,0.038718
C7orf50,1.7645,0.03882
LSAMP,1.7644,0.038829
WBP1L,1.7639,0.03887
KLF12,1.7638,0.038882
DOCK7,1.7635,0.038906
C14orf2,1.7635,0.03891
ANXA2R,1.7633,0.038925
TPBGL,1.7631,0.03894
GLI3,1.763,0.038952
SGMS1,1.7629,0.038954
MELK,1.7628,0.038966
OTUB1,1.7605,0.039163
TRIML2,1.7591,0.039278
C3AR1,1.7587,0.039311
NDST2,1.7581,0.039362
EPN1,1.758,0.039375
FABP6,1.758,0.039376
TMEM120A,1.7573,0.039437
C11orf65,1.7567,0.039488
C6orf1,1.7552,0.039611
ZC2HC1A,1.7534,0.039763
FAM53B,1.7531,0.039794
DBI,1.7518,0.039901
SLC22A10,1.7511,0.039967
PGLS,1.7511,0.039967
CRYBB1,1.7509,0.039982
PRKACG,1.7496,0.040092
SNX18,1.7494,0.040113
SIRT5,1.7493,0.040118
S100A16,1.7488,0.040158
ERC1,1.748,0.040236
RHOH,1.7477,0.040259
SREBF2,1.7463,0.040376
COX8A,1.7462,0.040392
