symbol,ZSTAT,P
ATG3,2.0873,0.018431
ATP5J2,2.0869,0.018449
GATA5,2.0868,0.018452
NAPB,2.0864,0.018472
UNC5A,2.0855,0.018514
ANKRD66,2.0839,0.018585
RAN,2.0813,0.018703
FBXO7,2.0798,0.018774
ZNF428,2.0785,0.018834
ZNF789,2.0772,0.01889
RTN4RL1,2.0766,0.018921
MSMP,2.0765,0.018925
PLA2G7,2.0744,0.019023
LAMA3,2.0735,0.019063
SP1,2.0735,0.019063
ZNF614,2.0731,0.019082
SCRN1,2.073,0.019087
OR1N1,2.0714,0.019162
LCN10,2.0705,0.019203
ALDH1B1,2.0702,0.019216
DNAH6,2.0678,0.019328
ANKRD9,2.0677,0.019334
GPR20,2.0662,0.019407
SDE2,2.0639,0.019514
OSGIN1,2.0637,0.019523
CRTC1,2.0626,0.019576
OR1N2,2.0615,0.019627
C19orf45,2.0591,0.01974
WDR83OS,2.0585,0.019772
NANOS1,2.0578,0.019804
RPL36,2.0576,0.019814
SHE,2.0559,0.019897
LGALS13,2.0536,0.020007
SH2D6,2.0534,0.020017
PAPSS1,2.0532,0.020027
PHF20L1,2.053,0.020035
NINJ1,2.0508,0.020143
BAP1,2.0471,0.020324
ARGLU1,2.0453,0.020411
KRT18,2.045,0.020427
WDR82,2.0443,0.020461
BRD2,2.044,0.020478
HLA-DMB,2.044,0.020478
HLA-DMA,2.044,0.020478
NOC3L,2.0431,0.020521
WWC2,2.0416,0.020594
SELV,2.0395,0.020699
MYOT,2.0395,0.020701
NOTUM,2.0393,0.020708
RASD2,2.0378,0.020784
PRSS23,2.0377,0.020791
FILIP1L,2.0368,0.020835
YPEL2,2.0362,0.020866
NETO1,2.0361,0.020873
PPM1L,2.0353,0.020908
ZNF805,2.0353,0.020911
HBA2,2.0349,0.02093
SMIM2,2.0334,0.021008
ARHGAP8,2.0332,0.021019
ZNF394,2.0311,0.02112
BHLHA15,2.0307,0.021144
PRR5-ARHGAP8,2.0289,0.021233
PINLYP,2.0288,0.021239
WDR3,2.0285,0.021254
STX2,2.0283,0.021262
PKD1L1,2.0281,0.021273
PRDM11,2.0275,0.021307
BEST4,2.0261,0.021377
DYRK2,2.0255,0.021408
PANK1,2.0255,0.02141
PEX5L,2.0253,0.02142
PEX11G,2.0243,0.021468
TRPM2,2.0242,0.021475
GPR26,2.0239,0.021493
SRMS,2.0209,0.021648
SUCLG1,2.0206,0.021661
LMNTD2,2.0189,0.021749
RNF144B,2.0176,0.021814
AMHR2,2.0169,0.021851
SARDH,2.0163,0.021883
FAM220A,2.0155,0.021928
TCTEX1D4,2.0148,0.021961
SURF1,2.0142,0.021996
CCDC158,2.0071,0.022371
RPTOR,2.0069,0.022378
BTBD19,2.006,0.022429
PROCR,2.0059,0.022435
FST,2.0042,0.022523
CEACAM1,2.0026,0.022613
MYADML2,2.0022,0.022631
AQP12A,1.999,0.022806
LOC101927403,1.9983,0.022843
EEPD1,1.9971,0.02291
DHPS,1.997,0.022915
FBXW9,1.997,0.022915
PMM2,1.996,0.022966
C4orf26,1.9959,0.022975
EGLN2,1.9957,0.022983
TPM2,1.9952,0.023011
SCARB2,1.9945,0.023048
CEACAM8,1.9936,0.023096
KRT8,1.9921,0.02318
ATP12A,1.9899,0.023301
MAGI1,1.9899,0.023303
FAM69B,1.9899,0.023304
RNASE12,1.9886,0.023373
ZKSCAN5,1.9881,0.023398
MYBPC1,1.9877,0.023425
KRT38,1.9864,0.023496
SLC22A5,1.9859,0.023523
TMPRSS11F,1.9852,0.023562
IFNA21,1.9847,0.02359
CABP7,1.9814,0.023774
ITPKC,1.9799,0.023857
BMP8A,1.9794,0.023888
PRMT8,1.9787,0.023922
CDC123,1.9774,0.023996
LEFTY2,1.9774,0.023997
IFNA4,1.9773,0.024003
HIGD1A,1.976,0.024077
ZMAT5,1.9757,0.024093
NEO1,1.9756,0.024099
CCNI2,1.9751,0.02413
RPL36AL,1.9751,0.02413
LCN6,1.973,0.024246
CCDC112,1.9713,0.024343
KL,1.9685,0.024502
HSD11B1L,1.9684,0.024512
HTR3A,1.9675,0.024562
FAM209A,1.9673,0.024576
FOXR1,1.9667,0.024607
ADCK4,1.9661,0.024643
SPHK2,1.9661,0.024644
ZNF358,1.9648,0.02472
RAB6A,1.9641,0.024761
ZNF212,1.9637,0.024784
LAMB1,1.963,0.02482
SLC7A10,1.9621,0.024874
CSTL1,1.9617,0.024902
SAE1,1.9607,0.024957
DEFB121,1.9582,0.025103
KLHL3,1.9581,0.025111
TUB,1.9559,0.02524
PLSCR1,1.9535,0.02538
HCN4,1.953,0.025412
PTCH2,1.9526,0.025435
MAB21L2,1.9521,0.025462
TELO2,1.9512,0.025517
CIPC,1.9511,0.02552
CSE1L,1.9497,0.025607
SNRPF,1.9495,0.025619
NNT,1.9492,0.025635
