symbol,ZSTAT,P
KLHDC7A,1.9939,0.023081
SKOR2,1.9932,0.02312
SPRTN,1.9927,0.023146
ZNF436,1.9918,0.023198
ESRRG,1.9898,0.023306
LSG1,1.9888,0.023361
UNC5A,1.9887,0.023365
R3HDM1,1.9883,0.023391
BBS4,1.9872,0.02345
MYLK,1.9863,0.0235
C20orf173,1.9831,0.023679
BAALC,1.9824,0.023716
SOX14,1.9811,0.023791
GTSE1,1.9784,0.023943
DNASE1L3,1.9784,0.023944
EHHADH,1.9783,0.02395
NUP37,1.9771,0.024016
ZNF43,1.9771,0.024016
SERPINA6,1.9758,0.024087
PDZD7,1.9753,0.024118
IL10RA,1.9744,0.024169
GFM2,1.974,0.024192
FOXC2,1.9733,0.024232
ERLEC1,1.9704,0.024394
BEAN1,1.9698,0.024432
KRTAP16-1,1.9694,0.024456
CCR3,1.9668,0.024604
MED21,1.9659,0.024653
SRD5A3,1.9646,0.024728
SRF,1.9641,0.024758
TSC22D1,1.9639,0.024769
LINGO3,1.963,0.024824
C6orf52,1.9622,0.024867
CRAT,1.9607,0.024956
ADPRM,1.9601,0.024991
CCDC53,1.96,0.024995
FAM43A,1.9598,0.025012
GTPBP10,1.9581,0.025108
TPI1,1.9579,0.025118
UBR5,1.9578,0.02513
CBFA2T2,1.957,0.025174
EXOC8,1.9569,0.025179
ST3GAL2,1.9559,0.02524
PEX10,1.9558,0.025242
PHF7,1.9555,0.02526
PRKACG,1.9552,0.025278
CNGA3,1.9541,0.025344
PKN3,1.9538,0.02536
TRIM17,1.9538,0.02536
RAB12,1.9526,0.025435
TMEM14C,1.9516,0.025491
AK4,1.9478,0.025719
PARPBP,1.9475,0.025736
HAVCR1,1.9473,0.025748
DEDD2,1.9459,0.025831
LRRC34,1.9448,0.025898
CNNM2,1.944,0.025948
APAF1,1.9438,0.025963
KRTAP29-1,1.9437,0.025968
SPATA45,1.9428,0.026017
PKP2,1.9428,0.026021
ACTL10,1.9412,0.026116
WFDC8,1.9395,0.02622
