symbol,ZSTAT,P
ITGB3BP,2.0914,0.018246
FAM109B,2.0903,0.018297
SNAP91,2.0886,0.018371
ACOT1,2.0873,0.018431
B3GNT7,2.0865,0.018469
UNC45A,2.0858,0.018498
SCO1,2.0827,0.018638
TMEM72,2.0826,0.018645
GCDH,2.0813,0.018703
AP3B2,2.0801,0.01876
WDR18,2.0789,0.018813
DSC1,2.0787,0.018821
CSMD3,2.0785,0.018831
UBA7,2.0774,0.018882
C11orf58,2.077,0.0189
IRF1,2.0761,0.018944
CYP2C18,2.0715,0.019158
EPM2A,2.071,0.019179
SUV420H1,2.0694,0.019254
PCNXL2,2.0677,0.019335
CLDN9,2.0666,0.019388
SLX4,2.0663,0.019398
HELB,2.0643,0.019493
TYW5,2.0639,0.019512
C7orf71,2.0605,0.019675
C5orf63,2.0603,0.019683
SRSF7,2.0592,0.019738
LOC101060179,2.0588,0.019756
FAM69B,2.0569,0.019849
NPM2,2.0568,0.019853
ETAA1,2.0565,0.019869
DEFB116,2.0564,0.019874
LOH12CR1,2.0562,0.019882
GRM1,2.0493,0.020214
STARD5,2.0475,0.020302
APPBP2,2.0452,0.020418
ANKRD36C,2.0448,0.020439
FAM212A,2.0428,0.020538
AMER3,2.0427,0.020541
CPPED1,2.0415,0.020602
CHMP4B,2.035,0.020924
ADPRM,2.0348,0.020935
IPO11,2.0347,0.020938
SLC35A5,2.0341,0.020971
GEMIN6,2.0313,0.021112
ATG3,2.0292,0.021217
ACBD6,2.029,0.02123
PHYHIPL,2.028,0.021281
RBM20,2.0271,0.021327
MTFMT,2.026,0.021382
ANO6,2.0228,0.021547
PRMT6,2.0217,0.021602
LDLRAD3,2.0217,0.021604
CDHR4,2.0213,0.021623
SLC9A2,2.0209,0.021646
PVRL2,2.0208,0.02165
DCAF7,2.0203,0.021674
HMMR,2.0198,0.021703
SETD5,2.0191,0.02174
NNT,2.0187,0.02176
THUMPD3,2.0173,0.021833
ARMC4,2.0168,0.021858
PGM1,2.0154,0.021932
TRPA1,2.0151,0.02195
LIF,2.015,0.021954
PDAP1,2.0149,0.021959
AURKC,2.0149,0.021959
CYB561,2.0146,0.021972
UPK2,2.0132,0.022048
RTN4RL1,2.0121,0.022103
MAGOH,2.0112,0.022151
PLB1,2.0103,0.022198
STK24,2.0099,0.022221
ADD1,2.0099,0.022223
PLSCR1,2.0098,0.022227
NIPSNAP1,2.0085,0.022294
ZNF425,2.0076,0.02234
SH3GLB1,2.0071,0.022371
BUD31,2.007,0.022376
TFF1,2.0067,0.022393
GRIA1,2.0066,0.022394
TRPM2,2.0063,0.022414
KIT,2.0062,0.022418
TRAPPC12,2.003,0.022591
STOM,2.0019,0.022645
DNASE1,2.0016,0.022665
ZNF398,2.0011,0.022692
ANAPC4,2.0002,0.02274
JMJD1C,1.9997,0.022769
GOLGA6C,1.9994,0.02278
NUDCD2,1.9982,0.022845
SAA2,1.998,0.022856
C19orf70,1.998,0.022858
ZNF821,1.9978,0.022871
SLC51B,1.9972,0.022901
MLEC,1.9963,0.022952
NDUFAF2,1.9962,0.022955
ZNF264,1.9962,0.022957
ZC3H13,1.9951,0.023018
CCNI2,1.9936,0.023098
SRMS,1.9934,0.023108
ZNF619,1.9911,0.023237
LOC648044,1.9904,0.023276
BRSK2,1.9895,0.023326
DNASE1L3,1.9887,0.023365
UCP2,1.9884,0.023384
LMBRD1,1.9883,0.023387
USP49,1.9871,0.023454
BCL2L14,1.9865,0.023491
PPP4R1,1.9862,0.023508
LGR6,1.985,0.023573
DDHD1,1.9846,0.023594
ADHFE1,1.9843,0.023609
RALBP1,1.9843,0.02361
CPSF4,1.9832,0.02367
BBOX1,1.9833,0.02367
BAAT,1.9826,0.023707
IRGM,1.9825,0.023709
DIMT1,1.9817,0.023756
CPB2,1.9806,0.023816
DEFB123,1.9799,0.023858
RPAP3,1.9793,0.023891
C9orf91,1.9791,0.023904
CATSPERD,1.9788,0.023917
MBD2,1.9786,0.023928
C2orf47,1.9763,0.024062
MRFAP1,1.9758,0.02409
PRMT8,1.9743,0.024176
FABP9,1.9741,0.024184
AGPAT2,1.9728,0.024258
TPM1,1.9727,0.024265
FABP6,1.9725,0.024273
EGFL7,1.9719,0.024308
KANSL3,1.9714,0.024339
MBTPS1,1.9674,0.024567
ZNF396,1.9657,0.024667
KCMF1,1.9626,0.024849
PAX8,1.9624,0.024856
CRYZL1,1.9615,0.024908
UBFD1,1.9611,0.024936
LELP1,1.9608,0.024954
TMEM38B,1.9604,0.024976
PLXNA4,1.9604,0.024977
ZFP36L2,1.959,0.025058
PTCD1,1.9589,0.025061
ADARB1,1.9577,0.025131
TAL2,1.9575,0.025145
MARCH8,1.9567,0.025194
KRT78,1.9565,0.025203
AP2S1,1.9558,0.025242
DCD,1.9556,0.025255
ATP5J2-PTCD1,1.9533,0.025393
DNAH6,1.9531,0.025402
PPOX,1.9515,0.0255
GADL1,1.9482,0.025693
CBLN3,1.9482,0.025695
PIP5KL1,1.9456,0.025849
GGA2,1.9454,0.025865
REM1,1.9439,0.025954
SERTAD3,1.9437,0.025968
PHF7,1.9436,0.025972
CCDC112,1.9434,0.025981
BCL2L1,1.9434,0.025983
CUTC,1.9434,0.025983
TNNI1,1.9434,0.025986
NMD3,1.9433,0.025987
SNUPN,1.942,0.026071
SLC7A13,1.9419,0.026077
KIF20B,1.9416,0.026095
LYVE1,1.9412,0.026116
TP73,1.941,0.026131
SLC39A14,1.9407,0.026148
IL1RL2,1.9386,0.026275
FLJ20712,1.9372,0.026363
TSPAN19,1.937,0.026372
CSNK1G2,1.937,0.026372
DPM2,1.9362,0.026419
TM9SF4,1.9359,0.026437
ETV4,1.936,0.026437
CPLX2,1.9356,0.02646
TSKS,1.9344,0.026534
TPX2,1.9339,0.026566
PTPN13,1.9329,0.026626
GREB1,1.9327,0.02664
FAM83C,1.9325,0.026649
WDYHV1,1.9311,0.026736
GLIPR1,1.9309,0.026749
C17orf59,1.9305,0.026771
ADAMTS18,1.9305,0.026772
CIDEA,1.9303,0.026784
ELOVL2,1.9297,0.026822
NT5C2,1.9286,0.026889
ENTPD3,1.9279,0.026935
SLC25A28,1.9272,0.026975
ZNF786,1.9264,0.027024
NDC1,1.9256,0.027075
EDEM2,1.9255,0.027081
MRTO4,1.9252,0.027104
HOOK3,1.9245,0.027145
FRA10AC1,1.9242,0.027165
RAB4B,1.924,0.027175
GRIN3B,1.9232,0.027227
AGT,1.9229,0.027249
RIMS1,1.9217,0.027321
RGP1,1.9216,0.027327
SEC24D,1.92,0.027428
EARS2,1.9195,0.027463
SAA4,1.9193,0.027476
ST6GALNAC4,1.9189,0.027497
RPS25,1.9185,0.027521
TMC3,1.9184,0.027531
PC,1.9183,0.027538
FGF17,1.9182,0.027544
MARVELD3,1.9181,0.027548
PDIA2,1.9181,0.027549
DPP10,1.9166,0.027646
MATN1,1.9154,0.027722
USP19,1.915,0.027746
FBXO30,1.9148,0.02776
FBXL13,1.9146,0.027771
CPQ,1.9141,0.027805
LMNTD1,1.9135,0.027843
DND1,1.9124,0.027913
CCDC68,1.9112,0.027987
PQLC2,1.9111,0.027995
ARMC9,1.9111,0.027995
PDHB,1.9104,0.028038
REEP3,1.9103,0.028048
USP32,1.9101,0.028061
CADPS,1.9081,0.02819
C2orf69,1.9063,0.028304
SPAG16,1.9058,0.028337
EHHADH,1.9041,0.028448
C5orf47,1.9026,0.028545
CLVS1,1.9024,0.028561
EMC1,1.8991,0.028773
CLDN20,1.8991,0.028776
MRPL42,1.8974,0.02889
GAB1,1.8968,0.028926
RNF170,1.8957,0.029001
ENTPD7,1.8944,0.029086
TNFRSF10D,1.8941,0.029103
GPR26,1.8939,0.02912
AGPAT3,1.8935,0.029144
NACA2,1.8935,0.029146
KIZ,1.8924,0.029218
BUB1B,1.892,0.029243
CSF2,1.8918,0.029258
MYLK2,1.8915,0.029281
FOLR1,1.8912,0.029299
FAM220A,1.8911,0.029308
USP21,1.891,0.029315
EID2,1.89,0.029382
ADPRHL1,1.8897,0.029399
AFF1,1.8892,0.029431
C22orf34,1.8881,0.02951
ERN1,1.888,0.029515
FBXO38,1.8879,0.02952
UFC1,1.8877,0.029533
DPCD,1.8873,0.02956
ARPC1B,1.8873,0.02956
ST3GAL3,1.8871,0.029574
ATP5J2,1.887,0.029578
CAPN2,1.8866,0.029604
LRRIQ1,1.8863,0.029627
HDHD2,1.8849,0.029722
OR51A2,1.8844,0.029756
COX15,1.8838,0.029794
LONP1,1.8837,0.029801
PKMYT1,1.8833,0.029829
ANO4,1.8824,0.029892
IST1,1.8802,0.03004
BLVRB,1.88,0.030057
ZNF541,1.8795,0.03009
AURKB,1.879,0.030122
POLR2C,1.879,0.030125
ETFDH,1.8769,0.030269
DNAJC28,1.8768,0.030276
POMK,1.8766,0.030288
METTL25,1.8761,0.030323
APMAP,1.8755,0.03036
HARS2,1.8732,0.030519
PGBD5,1.8729,0.030539
ZNF106,1.8729,0.030544
ADGRB3,1.8725,0.030565
DCT,1.8725,0.030566
ZNF789,1.8721,0.030599
CCNB1,1.872,0.030604
RTP3,1.8716,0.030628
SNAP23,1.8712,0.030661
HBM,1.8709,0.030683
QRICH1,1.8696,0.030768
PAMR1,1.8696,0.03077
RSPH1,1.869,0.030809
DNASE2,1.8688,0.030825
SUCLG1,1.8679,0.030891
ARID5A,1.8676,0.030909
SAA2-SAA4,1.8662,0.031005
ACTRT3,1.8656,0.031046
C8orf48,1.8655,0.031058
APOC2,1.8654,0.03106
SPINK7,1.865,0.031087
SLC13A1,1.8646,0.031122
ZMAT2,1.8643,0.031142
EFCAB7,1.8634,0.031202
LY9,1.863,0.031234
TFB1M,1.862,0.0313
ACCS,1.8613,0.031353
SELV,1.8607,0.031392
APOC4,1.8593,0.031492
TMPRSS11A,1.8584,0.031553
FAM227B,1.8574,0.031629
CIB3,1.8533,0.031919
SAP18,1.8523,0.031993
DCTN4,1.852,0.032013
SCARA5,1.8517,0.032033
ARFGEF2,1.8508,0.032099
SMIM3,1.8507,0.032109
ANGEL2,1.8501,0.032152
LRRC17,1.8491,0.032225
CCND3,1.847,0.032377
CYP2D6,1.8466,0.0324
SNX33,1.8466,0.032404
ZKSCAN5,1.8464,0.032417
CHEK1,1.846,0.032447
NEURL3,1.8454,0.032487
NLRC5,1.8453,0.032498
DGKE,1.845,0.032522
SLFN12,1.8443,0.032569
NANOS1,1.8436,0.032621
AKR7A2,1.8426,0.032692
MYO1B,1.8425,0.032702
CD8B,1.8423,0.032716
TCF20,1.8417,0.032762
MAP1B,1.8414,0.032779
ZNF655,1.8413,0.032791
THAP1,1.8409,0.032819
TAF1L,1.8405,0.032851
SPINK9,1.8402,0.032867
AP1M1,1.8389,0.032969
FNTA,1.8386,0.032989
ACCSL,1.8381,0.033025
RPL14,1.838,0.033035
